Date,Price,USD / MYR Price
5/16/2003,355.00,3.8
5/19/2003,359.00,3.8
5/20/2003,366.30,3.8
5/21/2003,367.80,3.8
5/22/2003,369.60,3.8
5/23/2003,370.50,3.8
5/26/2003,370.50,3.8
5/27/2003,371.40,3.8
5/28/2003,359.50,3.8
5/29/2003,363.10,3.8
5/30/2003,361.40,3.8
6/2/2003,364.80,3.8
6/3/2003,365.00,3.8
6/4/2003,364.20,3.8
6/5/2003,366.80,3.8
6/6/2003,363.00,3.8
6/9/2003,362.80,3.8
6/10/2003,354.30,3.8
6/11/2003,354.30,3.8
6/12/2003,352.30,3.8
6/13/2003,353.10,3.8
6/16/2003,358.30,3.8
6/17/2003,362.80,3.8
6/18/2003,359.80,3.8
6/19/2003,357.70,3.8
6/20/2003,358.00,3.8
6/23/2003,355.00,3.8
6/24/2003,348.30,3.8
6/25/2003,348.10,3.8
6/26/2003,343.90,3.8
6/27/2003,345.50,3.8
6/30/2003,346.00,3.8
7/1/2003,350.20,3.8
7/2/2003,351.50,3.8
7/3/2003,349.40,3.8
7/4/2003,351.30,3.8
7/7/2003,348.20,3.8
7/8/2003,347.20,3.8
7/9/2003,344.20,3.8
7/10/2003,343.40,3.8
7/11/2003,343.70,3.8
